TV,Radio,Newspaper,Sales
112.4,18.7,63.5,12.7
285.2,47.5,7.1,20.8
219.6,36.6,9.5,18.2
179.6,29.9,74.2,16.5
46.8,7.8,3.3,10.6
46.8,7.8,4.6,9.5
17.4,2.9,34.0,7.9
259.8,43.3,10.2,21.0
180.3,30.1,88.4,15.7
212.4,35.4,3.1,17.4
6.2,1.0,78.3,7.5
290.9,48.5,86.2,20.6
249.7,41.6,45.4,20.0
63.7,10.6,80.1,9.8
54.5,9.1,51.8,11.2
55.0,9.2,22.2,9.3
91.3,15.2,23.5,10.7
157.4,26.2,91.8,14.0
129.6,21.6,21.2,13.6
87.4,14.6,76.6,11.2
183.5,30.6,39.0,17.3
41.8,7.0,52.2,8.8
87.7,14.6,20.0,11.4
109.9,18.3,55.1,12.0
136.9,22.8,22.7,14.4
235.6,39.3,51.2,18.4
59.8,10.0,46.0,10.4
154.3,25.7,85.2,14.3
177.7,29.6,5.3,14.3
18.4,3.1,10.0,9.0
182.2,30.4,30.8,16.0
4.4,0.7,85.8,7.9
28.5,4.8,26.6,7.6
284.1,47.3,72.4,21.2
242.5,40.4,70.9,18.5
91.4,15.2,50.4,12.3
91.2,15.2,43.9,13.2
205.4,34.2,84.0,18.2
205.8,34.3,73.0,18.0
132.0,22.0,58.3,12.5
36.7,6.1,19.3,9.5
290.1,48.3,73.4,22.4
85.1,14.2,21.1,11.5
272.5,45.4,29.1,20.0
77.5,12.9,59.3,11.3
201.7,33.6,56.7,17.2
162.2,27.0,81.3,15.9
59.2,9.9,81.4,10.0
153.3,25.6,12.0,15.1
55.5,9.3,31.4,9.2
171.1,28.5,43.3,15.0
79.4,13.2,80.3,10.3
272.7,45.5,5.1,19.4
271.8,45.3,58.8,20.9
121.2,20.2,74.1,12.3
149.3,24.9,78.2,15.3
104.5,17.4,2.9,11.9
14.0,2.3,64.2,7.3
20.3,3.4,49.8,8.2
294.4,49.1,38.2,22.4
120.7,20.1,26.8,12.7
12.7,2.1,89.5,8.8
191.1,31.8,2.8,16.5
145.4,24.2,78.2,13.9
215.3,35.9,87.9,18.1
288.6,48.1,51.0,22.0
289.4,48.2,35.1,21.7
232.0,38.7,5.5,19.1
175.8,29.3,96.3,17.7
27.4,4.6,83.9,8.5
34.7,5.8,55.1,8.0
280.9,46.8,1.4,20.6
281.3,46.9,4.4,19.3
156.4,26.1,9.4,16.5
159.2,26.5,15.6,13.6
19.0,3.2,7.4,8.9
253.1,42.2,37.3,18.7
252.3,42.0,91.8,21.1
161.7,26.9,89.6,14.6
222.1,37.0,24.9,18.3
224.2,37.4,82.9,19.9
37.6,6.3,56.6,10.0
83.7,14.0,81.6,12.2
12.0,2.0,91.8,8.4
144.1,24.0,94.2,12.9
108.9,18.2,56.9,12.5
104.0,17.3,22.3,11.8
128.8,21.5,43.2,14.1
260.6,43.4,20.9,18.9
195.4,32.6,35.7,15.8
169.6,28.3,17.7,16.3
209.1,34.8,38.8,17.9
12.9,2.2,50.7,5.8
117.8,19.6,58.3,12.7
13.7,2.3,1.4,6.7
161.8,27.0,24.4,15.5
204.0,34.0,82.7,17.9
220.1,36.7,9.3,19.5
25.2,4.2,39.6,7.8
243.6,40.6,90.4,19.2
243.2,40.5,21.9,18.0
155.1,25.8,81.4,14.4
112.5,18.7,13.1,12.6
111.4,18.6,8.7,14.1
174.4,29.1,76.5,15.7
168.3,28.1,89.5,14.1
199.1,33.2,85.1,17.6
193.3,32.2,60.8,17.4
224.5,37.4,15.6,18.1
262.2,43.7,84.7,19.2
258.9,43.1,24.8,20.0
236.4,39.4,32.9,19.3
127.3,21.2,2.3,13.5
211.2,35.2,58.9,16.2
241.1,40.2,4.8,19.6
276.5,46.1,97.7,20.8
10.9,1.8,77.5,6.6
174.1,29.0,46.2,16.8
254.9,42.5,50.1,21.4
207.2,34.5,32.2,18.7
20.7,3.5,8.8,8.2
15.0,2.5,62.8,7.9
153.1,25.5,52.2,12.4
126.3,21.0,45.8,14.9
184.2,30.7,18.0,17.3
163.5,27.2,52.0,14.1
60.8,10.1,85.7,10.4
223.1,37.2,22.7,18.4
227.1,37.9,18.4,17.5
159.9,26.6,50.7,16.8
128.5,21.4,25.4,11.8
191.6,31.9,29.3,17.9
19.0,3.2,55.9,7.6
252.1,42.0,22.7,19.8
180.1,30.0,48.4,17.0
116.7,19.5,3.9,12.5
284.1,47.3,71.0,20.8
189.9,31.7,30.4,16.9
282.8,47.1,31.0,21.5
201.2,33.5,88.9,16.2
12.0,2.0,13.7,7.1
115.8,19.3,95.1,10.5
200.7,33.5,58.2,16.7
200.9,33.5,60.2,15.7
161.4,26.9,81.1,14.3
132.8,22.1,14.1,13.8
245.9,41.0,25.4,19.4
155.7,26.0,37.5,15.6
106.3,17.7,1.8,13.3
109.8,18.3,16.4,12.1
134.1,22.4,95.1,13.3
180.4,30.1,99.9,17.8
180.2,30.0,63.2,16.4
13.3,2.2,15.8,7.3
256.3,42.7,78.5,21.4
10.9,1.8,31.4,8.5
6.4,1.1,70.9,7.7
200.2,33.4,46.1,17.8
191.2,31.9,8.5,17.4
213.9,35.7,1.3,18.3
213.6,35.6,38.8,17.5
281.4,46.9,38.3,20.3
157.0,26.2,95.9,14.1
283.4,47.2,50.2,21.5
264.4,44.1,43.3,19.3
138.8,23.1,41.4,14.3
219.0,36.5,82.7,16.8
175.7,29.3,26.4,15.6
167.3,27.9,59.3,17.1
287.4,47.9,81.5,21.9
146.9,24.5,23.0,14.6
232.0,38.7,46.1,19.4
221.3,36.9,18.8,18.1
230.1,38.4,11.8,18.1
271.7,45.3,77.4,20.8
15.5,2.6,37.9,7.8
163.7,27.3,37.0,13.8
119.5,19.9,89.3,13.5
24.0,4.0,46.0,8.7
244.6,40.8,71.2,18.9
127.3,21.2,74.7,13.2
205.8,34.3,38.5,16.0
206.1,34.4,59.7,17.1
132.3,22.0,14.4,12.7
34.0,5.7,20.0,8.7
166.4,27.7,27.2,15.7
241.6,40.3,55.9,19.2
42.5,7.1,59.2,9.7
204.0,34.0,56.7,18.2
